videoId,topicCategoryId
ONDs6zaSRTc,26
ONDs6zaSRTc,22
W95EueKPS38,22
VepOepAA7_U,26
VepOepAA7_U,22
3Obk-HEYTH8,22
5fxf191c0jg,23
5fxf191c0jg,22
2RmUMmUj3u8,22
4qPiBnJR0w4,22
v7aRWcM0AFE,23
v7aRWcM0AFE,22
jZf1dd2zI2Q,22
jZf1dd2zI2Q,14
6GOqREgcias,22
mN15J_6ae74,25
mN15J_6ae74,23
mN15J_6ae74,22
-Z-FYIbch9E,22
-Z-FYIbch9E,14
5_Q_hzfUXLg,23
5_Q_hzfUXLg,22
bZZqKVGNrso,22
qnj9_cA8Z-M,27
qnj9_cA8Z-M,22
XjN5XmFSGQU,23
XjN5XmFSGQU,22
JJvs16KLocY,23
JJvs16KLocY,22
JmrnTiTDMdU,22
p6U1BWZtweI,22
bwQQZsV3Sw0,23
bwQQZsV3Sw0,22
ZxYBwe-CwQg,22
ZxYBwe-CwQg,14
E07UGeCsh8w,3
E07UGeCsh8w,22
9VK6Ep7IBA0,22
Eu4-QJ312pU,22
uAKn-csF8g4,22
x-EbjGSRyKA,22
x-EbjGSRyKA,14
4_7kxGKWDIs,22
3dQ6yKSttEc,22
mjn44Amuzf0,22
Qnauk0wEerQ,22
6-FbIsbFfNk,23
6-FbIsbFfNk,22
2DfpX2scg00,26
2DfpX2scg00,22
W_yWTI5ED48,22
GwLD8E4LkmI,22
-bEPLMgrirs,22
-bEPLMgrirs,14
yHY8qsnQCdI,22
yHY8qsnQCdI,14
w7pVHomit0s,25
w7pVHomit0s,23
w7pVHomit0s,22
bUrCR4jQQg8,22
xuaf3anGj64,22
WiQSCW1zvh4,25
WiQSCW1zvh4,23
WiQSCW1zvh4,22
sGrQ3VdKwBQ,22
ZkCZtHQi_AM,25
ZkCZtHQi_AM,23
ZkCZtHQi_AM,22
vmpDtQzmDLo,22
4fhl9F8DZDU,25
4fhl9F8DZDU,23
4fhl9F8DZDU,22
-F-gCRqh1jA,22
Xn51DSTCcO4,22
Xu7PyTQ9OLU,22
8IHhvkaVqVE,22
ZZ3uy1kDzno,25
ZZ3uy1kDzno,23
ZZ3uy1kDzno,22
W8rRq5jwANs,22
lHSwkr623KI,22
7iKjX5sxa4I,22
7iKjX5sxa4I,14
H3CrdLZBih0,22
6jzG-BMannc,25
6jzG-BMannc,23
6jzG-BMannc,22
syUoJvoT1Ik,23
syUoJvoT1Ik,22
I4Utn3N_dZo,22
I4Utn3N_dZo,14
aqA5ys1LW84,25
aqA5ys1LW84,23
aqA5ys1LW84,22
hxrLUHtQqP8,22
CHsFAEFOPhI,22
CHsFAEFOPhI,14
fY-djsNEDME,22
fY-djsNEDME,14
u64gDYp2SPI,22
a-ImUnRwjAo,22
a-ImUnRwjAo,14
OvwxLP3xKFo,23
OvwxLP3xKFo,22
L_Ewhkf8nEE,22
L_Ewhkf8nEE,14
vMJzQHr6iKw,22
jW6b4ObnYMY,22
u3N-2lIE11k,22
u3N-2lIE11k,14
UKq_blvKCPc,22
tbGDEczI-JE,22
MTHtDOcsz9k,22
