video_index,publishedAt,duration,viewCount,likeCount,commentCount,categoryId,channel_ids.Indice
581,2024-10-14 19:41:49,00:00:55,474268,32419,1420,17,581
667,2024-10-13 19:10:10,00:00:55,431490,29048,689,17,667
7,2024-10-14 07:53:39,00:00:56,3484666,236694,864,1,7
13,2024-10-13 22:00:28,00:00:56,3824044,288558,2252,1,13
134,2024-10-11 17:00:31,00:00:56,1913498,245688,888,1,134
172,2024-10-10 19:28:38,00:00:56,1445259,62358,123,1,172
179,2024-10-14 09:00:06,00:00:56,1324429,114012,181,1,179
330,2024-10-03 17:11:30,00:00:56,2920517,123925,1781,28,330
379,2024-09-30 21:11:11,00:00:56,1486108,58438,893,28,379
5,2024-10-04 04:00:05,00:00:57,13864717,923626,4271,1,5
109,2024-10-06 21:00:07,00:00:57,10069472,634716,686,1,109
116,2024-10-12 22:00:28,00:00:57,1867892,136948,346,1,116
338,2024-10-11 00:36:46,00:00:57,838842,67245,740,28,338
349,2024-10-17 23:06:19,00:00:57,154046,14968,586,28,349
542,2024-10-15 00:58:55,00:00:57,744138,24362,250,17,542
556,2024-10-11 02:55:00,00:00:57,1522431,85814,703,17,556
580,2024-10-14 22:59:36,00:00:57,1464083,51847,1158,17,580
597,2024-10-08 21:29:42,00:00:57,1190843,100312,207,17,597
621,2024-10-05 22:21:35,00:00:57,2723282,107922,4102,17,621
628,2024-10-12 16:23:00,00:00:57,1015702,19605,76,17,628
640,2024-10-10 20:00:16,00:00:57,1061670,42840,384,17,640
681,2024-10-11 22:15:51,00:00:57,2616882,127268,545,17,681
40,2024-10-14 11:27:56,00:00:58,3711930,258211,661,1,40
45,2024-10-04 16:58:00,00:00:58,21891617,1409934,5304,1,45
77,2024-10-08 19:44:00,00:00:58,3352822,117490,734,1,77
105,2024-10-04 18:38:56,00:00:58,12493145,755150,2055,1,105
106,2024-10-14 15:06:00,00:00:58,1168158,136558,346,1,106
125,2024-10-04 13:18:00,00:00:58,9931771,909928,3403,1,125
129,2024-10-10 14:23:14,00:00:58,2078313,159678,510,1,129
198,2024-10-08 08:49:03,00:00:58,3807139,559104,1432,1,198
413,2024-10-11 11:14:15,00:00:58,479163,9675,109,28,413
530,2024-10-11 17:26:45,00:00:58,1877760,115594,4050,17,530
638,2024-09-28 12:50:38,00:00:58,669176,27321,298,17,638
551,2024-10-17 05:41:09,00:00:59,494723,28906,93,17,7
14,2024-10-13 15:08:00,00:00:59,2326783,129301,1309,1,14
15,2024-10-14 15:13:00,00:00:59,4042907,340427,633,1,15
49,2024-10-13 23:57:00,00:00:59,1290387,82417,3979,1,49
58,2024-10-08 16:23:00,00:00:59,4679048,361263,1223,1,58
66,2024-10-10 17:48:00,00:00:59,3645475,409638,308,1,66
67,2024-10-12 23:00:22,00:00:59,1002335,81839,333,1,67
88,2024-10-08 23:19:00,00:00:59,3342024,194457,337,1,88
92,2024-10-13 15:37:00,00:00:59,1324231,57476,794,1,92
97,2024-10-11 02:09:43,00:00:59,3169981,266622,188,1,97
114,2024-10-11 23:13:11,00:00:59,533641,26081,307,1,114
162,2024-10-12 19:55:30,00:00:59,1228578,94966,262,1,162
175,2024-10-07 12:01:50,00:00:59,6547813,306604,1966,1,175
183,2024-10-15 18:56:00,00:00:59,398549,36531,154,1,183
194,2024-10-10 22:04:12,00:00:59,1068615,78994,208,1,194
199,2024-10-10 22:10:00,00:00:59,1283668,107027,324,1,199
333,2024-10-17 03:39:08,00:00:59,1564722,164653,562,28,333
344,2024-09-25 20:11:17,00:00:59,1110653,47547,649,28,344
350,2024-10-10 03:34:14,00:00:59,855384,22497,89,28,350
367,2024-09-13 09:04:58,00:00:59,37033134,674519,742,28,367
499,2024-09-29 20:05:09,00:00:59,2359456,81330,3151,28,499
506,2024-10-03 01:30:01,00:00:59,554323,16362,197,28,506
508,2024-10-15 16:05:46,00:00:59,547920,2168,32,28,508
515,2024-10-12 11:30:14,00:00:59,1370206,92984,382,17,515
565,2024-10-11 18:30:50,00:00:59,1127090,62062,299,17,565
655,2024-10-14 16:00:41,00:00:59,1541563,69202,776,17,655
657,2024-10-11 21:00:25,00:00:59,981556,37673,210,17,657
1,2024-10-11 21:00:07,00:01:00,13051540,622840,4881,1,1
6,2024-10-08 13:08:00,00:01:00,22028694,1663029,3869,1,6
16,2024-10-15 09:00:06,00:01:00,2405602,134438,419,1,16
18,2024-10-12 22:20:06,00:01:00,4914794,386577,984,1,18
22,2024-10-09 15:44:00,00:01:00,3822052,263777,904,1,22
23,2024-10-16 01:28:36,00:01:00,1286662,79807,880,1,23
24,2024-10-11 16:37:58,00:01:00,3325129,298001,103,1,24
26,2024-10-13 15:45:01,00:01:00,7474746,634753,2182,1,26
27,2024-10-13 15:08:00,00:01:00,3260390,281700,478,1,27
30,2024-10-08 17:35:00,00:01:00,4714847,633220,3874,1,30
33,2024-10-11 03:00:04,00:01:00,2738399,297010,322,1,33
38,2024-10-14 23:00:23,00:01:00,1136975,88601,776,1,38
44,2024-10-09 15:13:00,00:01:00,8467406,583510,2566,1,44
47,2024-10-12 22:00:12,00:01:00,1971905,189828,1078,1,47
51,2024-10-17 17:30:06,00:01:00,845320,139209,1534,1,51
55,2024-10-10 21:00:27,00:01:00,4619228,596310,1785,1,55
56,2024-10-02 16:00:45,00:01:00,9972191,1143201,549,1,56
65,2024-10-09 18:39:44,00:01:00,6620812,320705,816,1,65
71,2024-10-11 17:55:00,00:01:00,3704071,292443,1017,1,71
74,2024-10-08 03:07:08,00:01:00,2964119,268142,1268,1,74
84,2024-10-13 16:00:40,00:01:00,795468,73929,628,1,84
85,2024-10-09 13:43:00,00:01:00,3810974,309097,825,1,85
87,2024-10-05 22:25:04,00:01:00,9986920,437027,1756,1,87
89,2024-10-11 20:00:05,00:01:00,1491682,34371,345,1,89
91,2024-10-10 15:52:00,00:01:00,3432254,241005,229,1,91
94,2024-10-15 06:07:55,00:01:00,1834467,150771,633,1,94
96,2024-10-05 21:53:00,00:01:00,4009100,298509,2069,1,96
103,2024-10-10 14:12:53,00:01:00,30734307,2250241,3490,1,103
104,2024-10-06 17:14:13,00:01:00,5900561,258939,1939,1,104
108,2024-10-10 15:06:23,00:01:00,5208072,165836,225,1,108
118,2024-10-08 21:16:41,00:01:00,3842515,321430,942,1,118
119,2024-10-11 21:41:10,00:01:00,1659070,204079,161,1,119
121,2024-10-05 16:00:41,00:01:00,6834053,703067,1714,1,121
123,2024-10-14 14:00:58,00:01:00,1645541,136725,538,1,123
126,2024-10-12 04:59:00,00:01:00,2586920,201790,502,1,126
127,2024-10-07 23:05:56,00:01:00,3895742,191223,1428,1,127
128,2024-10-13 17:00:53,00:01:00,1825937,159337,3980,1,128
136,2024-10-04 17:23:00,00:01:00,13748823,1267435,2151,1,136
143,2024-10-08 08:16:55,00:01:00,5729389,444140,1292,1,143
163,2024-10-12 17:47:00,00:01:00,2558695,138880,214,1,163
166,2024-10-16 22:30:01,00:01:00,640761,76154,405,1,166
169,2024-10-12 18:02:00,00:01:00,1765708,68797,184,1,169
188,2024-10-14 16:49:49,00:01:00,1158957,42712,106,1,188
190,2024-10-06 19:08:16,00:01:00,4165326,207623,2473,1,190
191,2024-10-10 13:13:00,00:01:00,5959756,319543,628,1,191
195,2024-10-06 01:08:37,00:01:00,52462002,978515,0,1,195
323,2024-10-07 13:20:00,00:01:00,3034282,230714,2135,28,323
